policy,n_servers,steps,rebalance_every,avg_latency,p95_latency,imbalance,hottest_server,max_server_heat,replicate
ilp,4,2000,50,193.53188453751005,231.9874979534048,16115.105932320683,3,49.78551163163876,0
ilp,4,2000,50,193.2167849751139,232.24166514991862,19390.69545692138,0,50.278362089468004,1
ilp,4,2000,50,194.17603410240238,233.60278047410685,16686.519110008936,3,48.52641402699802,2
ilp,4,2000,50,192.42511414536636,232.2693045925713,18289.11377918059,2,50.58827572914584,3
ilp,4,2000,50,191.85161165946715,231.0031572989958,18335.92628064499,0,48.75311692246399,4
ilp,4,2000,50,193.52141660237558,232.66201988762018,20397.896854997452,1,47.36617205417445,5
ilp,4,2000,50,192.47045746825066,232.44107535955854,18613.674897338602,0,48.54440320490099,6
ilp,4,2000,50,192.73442111151155,231.43352913995727,16489.633189941753,0,49.56310817697763,7
ilp,4,2000,50,193.60804524861587,231.71581694447258,19023.80371807563,2,47.19152298290029,8
ilp,4,2000,50,191.59627823816362,232.62067670689464,18603.90238257694,1,49.48504005401717,9
ilp,8,2000,50,193.2540884997163,231.63849313194748,19106.829287456723,5,49.67365767514776,0
ilp,8,2000,50,192.80537719504272,231.81356313927836,20265.43554322594,5,49.92181068047822,1
ilp,8,2000,50,193.52115854950324,232.98102385247313,20085.206454719475,5,48.174253816336,2
ilp,8,2000,50,191.73276019725782,231.27994648179484,20139.546827247956,5,50.324227433196086,3
ilp,8,2000,50,191.12169615690385,229.75771211675524,19021.85847313289,6,48.66262361036813,4
ilp,8,2000,50,192.88274284429406,231.89125374096446,18610.771465437323,5,47.09917730390447,5
ilp,8,2000,50,191.6257756095759,231.17076369931416,17673.918080759733,6,31.495162312514843,6
ilp,8,2000,50,192.05525884279405,230.92525955877957,17755.522756632567,5,47.15651072509061,7
ilp,8,2000,50,192.97526336087776,230.78575110521876,20337.6318250289,5,46.70750425095113,8
ilp,8,2000,50,190.91306071197855,231.7348998698483,17658.922145123815,6,48.827188149604325,9
